VOL,circulatio,code,day_10,day_5,day_open,highest,lowest,name,plate,ranking,shijing,shiying,time,top,total,zljl
5.96万手,11.07亿,300270,867万,1773万,6.67,7.34,6.63,中威电子,安防设备,14,2.02,46.62,2018-11-05 15:00:00,,22.23亿,1616万
11.43万手,17.78亿,600796,1766万,1766万,5.30,5.90,5.28,钱江生化,农药兽药,13,2.94,-,2018-11-05 15:00:00,,17.78亿,2862万
10.48万手,73.34亿,300274,1134万,4373万,6.88,6.88,6.88,阳光电源,机械行业,12,1.33,12.34,2018-11-05 15:00:00,,99.92亿,2371万
9.17万手,18.22亿,002452,2656万,2741万,4.11,4.29,4.11,长高集团,输配电气,11,1.72,-,2018-11-05 15:00:00,,22.71亿,1776万
4.65万手,16.28亿,002259,599万,1563万,2.25,2.25,2.25,ST升达,公用事业,10,1.04,-,2018-11-05 15:00:00,,16.93亿,432万
28.46万手,25.72亿,000760,6104万,5194万,3.58,3.93,3.55,斯太尔,汽车行业,9,2.05,-,2018-11-05 15:00:00,,30.33亿,5754万
1.77万手,5.89亿,603507,1676万,1783万,17.34,18.74,17.25,振江股份,输配电气,8,1.71,29.39,2018-11-05 15:00:00,,24.00亿,1842万
2.78万手,23.51亿,000622,3817万,2059万,5.53,5.53,5.53,恒立实业,机械行业,7,12.47,1618.52,2018-11-05 15:00:00,,23.51亿,690万
1.98万手,87.28亿,600562,867万,1244万,14.51,14.51,14.51,国睿科技,机械行业,6,5.11,224.48,2018-11-05 15:00:00,,90.30亿,1325万
1.12万手,63.27亿,002607,200万,661万,8.97,8.97,8.97,亚夏汽车,汽车行业,5,3.80,136.72,2018-11-05 15:00:00,,73.58亿,661万
1.59万手,20.40亿,600560,2021万,1856万,9.12,9.12,9.12,金自天正,机械行业,4,2.71,88.71,2018-11-05 15:00:00,,20.40亿,1005万
3351.00手,26.84亿,002194,688万,842万,5.06,5.06,5.06,*ST凡谷,通讯行业,3,2.00,-,2018-11-05 15:00:00,,28.57亿,94万
16.75万手,80.24亿,600783,,,9.71,10.78,9.71,鲁信创投,综合行业,49,2.15,27.75,2018-11-05 15:00:00,,80.24亿,
37.90万手,91.83亿,600064,6894万,6290万,6.75,7.43,6.68,南京高科,房地产,48,0.90,8.64,2018-11-05 15:00:00,,91.83亿,5857万
20.94万手,81.13亿,600020,1184万,1478万,3.42,3.64,3.41,中原高速,高速公路,47,0.81,6.22,2018-11-05 15:00:00,,81.13亿,1607万
8.88万手,46.21亿,000967,1705万,2754万,5.98,6.24,5.87,盈峰环境,金属制品,46,1.69,20.23,2018-11-05 15:00:00,,72.47亿,1225万
4.36万手,15.70亿,300688,4847万,5387万,39.39,42.97,38.61,创业黑马,文化传媒,45,7.45,95.73,2018-11-05 15:00:00,,29.22亿,4148万
39.99万手,215.1亿,600438,1亿,1亿,7.72,7.73,7.41,通威股份,农牧饲渔,44,2.09,13.56,2018-11-05 15:00:00,,300.1亿,6175万
71.71万手,16.33亿,600462,6161万,5513万,2.80,3.06,2.76,九有股份,电子元件,43,5.66,-,2018-11-05 15:00:00,,16.33亿,5096万
3.83万手,85.28亿,600180,529万,702万,7.93,8.41,7.83,瑞茂通,交运物流,42,1.52,16.93,2018-11-05 15:00:00,,85.28亿,709万
2.17万手,29.22亿,600182,-342万,666万,16.30,17.19,16.22,S佳通,汽车行业,40,6.50,58.88,2018-11-05 15:00:00,,58.45亿,926万
87.09万手,90.70亿,600635,7991万,7617万,3.43,3.75,3.43,大众公用,公用事业,39,1.57,24.81,2018-11-05 15:00:00,,110.7亿,8201万
5.60万手,7.64亿,300698,4409万,4424万,16.80,16.80,16.70,万马科技,通讯行业,38,5.90,272.08,2018-11-05 15:00:00,,22.51亿,2266万
13.93万手,8.90亿,603800,4254万,4547万,12.00,13.17,11.88,道森股份,专用设备,51,2.81,33.45,2018-11-05 15:00:00,,27.39亿,3720万
9.99万手,13.15亿,600689,2387万,1914万,7.90,8.64,7.81,上海三毛,纺织服装,50,3.77,546.99,2018-11-05 15:00:00,,17.37亿,1752万
8.91万手,11.64亿,300169,343万,734万,4.30,4.52,4.30,天晟新材,塑胶制品,37,1.24,292.12,2018-11-05 15:00:00,,14.73亿,843万
6.86万手,18.63亿,002337,591万,605万,3.03,3.20,3.03,赛象科技,机械行业,36,1.57,-,2018-11-05 15:00:00,,18.66亿,552万
67.91万手,52.39亿,000669,1043万,8340万,7.11,7.82,7.11,金鸿控股,公用事业,35,1.24,23.42,2018-11-05 15:00:00,,53.21亿,1亿
33.25万手,50.36亿,600210,2551万,3159万,3.02,3.32,3.00,紫江企业,包装材料,34,1.14,9.66,2018-11-05 15:00:00,,50.36亿,2942万
